news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name
AARP,center,3,Think Tank / Policy Group,1404,2343,0.37469975980784626,https://www.allsides.com/news-source/aarp-media-bias,0,0,0,0,NA,https://twitter.com/AARP,https://en.wikipedia.org/wiki/AARP,NA,AARP
ABC News,left-center,2,News Media,13793,9409,0.5944746142573916,https://www.allsides.com/news-source/abc-news-media-bias,0,1,1,1,High,https://twitter.com/ABC,https://en.wikipedia.org/wiki/ABC_News,https://www.facebook.com/ABCNews/,ABC
Abridge News,allsides,NA,News Media,31,17,0.6458333333333334,https://www.allsides.com/news-source/abridge-news-media-bias,0,0,0,1,High,https://twitter.com/Abridge_News,NA,https://www.facebook.com/AbridgeNews,Abridge_News
Accuracy in Media,right,5,Think Tank / Policy Group,743,444,0.6259477674810446,https://www.allsides.com/news-source/accuracy-media,0,0,0,1,Medium,NA,https://en.wikipedia.org/wiki/Accuracy_in_Media,NA,NA
ACLU,left-center,2,Think Tank / Policy Group,1272,1697,0.42842707982485684,https://www.allsides.com/news-source/american-civil-liberties-union,0,0,0,0,NA,https://twitter.com/@ACLU,https://en.wikipedia.org/wiki/American_Civil_Liberties_Union,https://www.facebook.com/aclu/,ACLU
AJ+,left,1,News Media,13,5,0.7222222222222222,https://www.allsides.com/news-source/aj-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Al Jazeera,left-center,2,News Media,3707,6138,0.376536312849162,https://www.allsides.com/news-source/al-jazeera-america,0,0,1,1,Low or Initial Rating,https://twitter.com/@AJEnglish,https://en.wikipedia.org/wiki/Al_Jazeera,https://www.facebook.com/aljazeera/,AJEnglish
Associated Press,center,3,News Media,8112,5817,0.5823820805513676,https://www.allsides.com/news-source/associated-press-media-bias,1,0,0,0,Medium,https://twitter.com/@johnleicester,https://en.wikipedia.org/wiki/Associated_Press,https://www.facebook.com/APNews/,johnleicester
Axios,center,3,News Media,1356,1565,0.4642245806230743,https://www.allsides.com/news-source/axios,0,1,0,1,Low or Initial Rating,https://twitter.com/@axios,https://en.wikipedia.org/wiki/Axios_(website),https://www.facebook.com/axiosnews/,axios
BBC News,center,3,News Media,11212,10996,0.5048631123919308,https://www.allsides.com/news-source/bbc-news-media-bias,0,0,0,1,Medium,https://twitter.com/bbcworld,https://en.wikipedia.org/wiki/BBC,https://www.facebook.com/bbcnews/,bbcworld
Bloomberg,center,3,News Media,6430,7570,0.4592857142857143,https://www.allsides.com/news-source/bloomberg-media-bias,0,1,0,1,Medium,https://twitter.com/business,https://en.wikipedia.org/wiki/Bloomberg_News,https://www.facebook.com/bloombergbusiness/,business
Breitbart News,right,5,News Media,17019,8114,0.6771575219830501,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,https://twitter.com/BreitbartNews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews
Brookings Institution,center,3,Think Tank / Policy Group,2222,1459,0.6036403151317576,https://www.allsides.com/news-source/brookings-institute,0,0,0,0,NA,NA,NA,NA,NA
Business Insider,center,3,News Media,1886,2155,0.46671615936649347,https://www.allsides.com/news-source/business-insider,0,0,0,0,NA,https://twitter.com/businessinsider,https://en.wikipedia.org/wiki/Business_Insider,http://www.facebook.com/businessinsider,businessinsider
BuzzFeed News,left,1,News Media,6106,6551,0.48242079481709726,https://www.allsides.com/news-source/buzzfeed-media-bias,1,0,1,1,Medium,NA,https://en.wikipedia.org/wiki/BuzzFeed_News,NA,NA
CBS News,left-center,2,News Media,6905,5391,0.5615647364996746,https://www.allsides.com/news-source/cbs-news-media-bias,0,1,0,1,Low or Initial Rating,https://twitter.com/@CBSNews,https://en.wikipedia.org/wiki/CBS_News,https://www.facebook.com/CBSNews/,CBSNews
CNN (Web News),left-center,2,News Media,27746,28952,0.48936470422237116,https://www.allsides.com/news-source/cnn-media-bias,1,1,1,1,High,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN
CNN - Editorial,left,1,News Media,8433,2395,0.7788141854451422,https://www.allsides.com/news-source/cnn-editorial,1,0,0,1,Medium,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN
Daily Beast,left,1,News Media,7713,4241,0.6452233561987619,https://www.allsides.com/news-source/daily-beast-media-bias,1,1,0,0,NA,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast
Daily Kos,left,1,News Media,5243,1937,0.7302228412256268,https://www.allsides.com/news-source/daily-kos,0,0,0,0,Low or Initial Rating,https://twitter.com/@Devilstower,https://en.wikipedia.org/wiki/Daily_Kos,https://www.facebook.com/dailykos/,Devilstower
Daily Mail,right,5,News Media,2470,1841,0.572952911157504,https://www.allsides.com/news-source/daily-mail,0,0,0,1,Medium,https://twitter.com/@RE_DailyMail,https://en.wikipedia.org/wiki/Daily_Mail,https://www.facebook.com/DailyMail,RE_DailyMail
The Daily Wire,right,5,News Media,2719,1344,0.6692099433915826,https://www.allsides.com/news-source/daily-wire,0,0,0,1,Medium,https://twitter.com/realDailyWire,https://en.wikipedia.org/wiki/The_Daily_Wire,https://www.facebook.com/DailyWire/,realDailyWire
Democracy Now,left,1,News Media,5405,1833,0.7467532467532467,https://www.allsides.com/news-source/democracy-now,0,0,0,1,Low or Initial Rating,https://twitter.com/DemocracyNow,https://en.wikipedia.org/wiki/Democracy_Now!,https://www.facebook.com/democracynow,DemocracyNow
The Economist,left-center,2,News Media,1612,3004,0.3492201039861352,https://www.allsides.com/news-source/economist,0,0,1,1,NA,https://twitter.com/TheEconomist,https://en.wikipedia.org/wiki/The_Economist,https://www.facebook.com/TheEconomist,TheEconomist
The Epoch Times,right,5,News Media,731,352,0.6749769159741459,https://www.allsides.com/news-source/epoch-times-media-bias,1,0,0,1,Medium,NA,https://en.wikipedia.org/wiki/Www.theepochtimes.com,NA,NA
FactCheck.org,center,3,News Media,5490,4018,0.5774084981068573,https://www.allsides.com/news-source/factcheckorg-media-bias,0,0,0,0,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/FactCheck.org,NA,NA
The Federalist,right,5,News Media,2459,1211,0.6700272479564032,https://www.allsides.com/news-source/federalist,0,0,0,0,Low or Initial Rating,https://twitter.com/@seanmdav,https://en.wikipedia.org/wiki/The_Federalist_(website),https://www.facebook.com/fdrlst/,seanmdav
Financial Times,center,3,News Media,340,216,0.6115107913669064,https://www.allsides.com/news-source/financial-times-media-bias,1,0,0,1,Low or Initial Rating,NA,NA,NA,NA
FiveThirtyEight,center,3,News Media,3326,2019,0.6222637979420018,https://www.allsides.com/news-source/fivethirtyeight-0,0,0,0,1,Low or Initial Rating,https://twitter.com/FiveThirtyEight,https://en.wikipedia.org/wiki/FiveThirtyEight,https://www.facebook.com/fivethirtyeight,FiveThirtyEight
Forbes,center,3,News Media,3972,2443,0.6191738113795792,https://www.allsides.com/news-source/forbes,0,0,0,0,NA,https://twitter.com/forbes/,https://en.wikipedia.org/wiki/Forbes,https://www.facebook.com/forbes/,forbes
Fox News Opinion,right,5,News Media,6195,1550,0.7998708844415752,https://www.allsides.com/news-source/fox-news-editorial-media-bias,1,0,0,0,Low or Initial Rating,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews
Fox Online News,right-center,4,News Media,22692,32082,0.4142841494139555,https://www.allsides.com/news-source/fox-news-media-bias,1,1,0,1,High,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews
The Guardian,left-center,2,News Media,6067,3885,0.6096262057877814,https://www.allsides.com/news-source/guardian,0,0,0,1,Medium,https://twitter.com/guardian,https://en.wikipedia.org/wiki/The_Guardian,https://www.facebook.com/theguardian/,guardian
The Hill,center,3,News Media,7444,9180,0.44778633301251203,https://www.allsides.com/news-source/hill-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/@thehill,https://en.wikipedia.org/wiki/The_Hill_(newspaper),https://www.facebook.com/TheHill,thehill
HuffPost,left,1,News Media,20470,19857,0.5076003669997768,https://www.allsides.com/news-source/huffpost-media-bias,1,1,1,1,High,https://twitter.com/HuffPost,https://en.wikipedia.org/wiki/HuffPost,https://www.facebook.com/HuffPost,HuffPost
InfoWars,right,5,News Media,4079,931,0.8141716566866267,https://www.allsides.com/news-source/infowars,0,0,0,1,Medium,https://twitter.com/infowars,https://en.wikipedia.org/wiki/InfoWars,https://www.facebook.com/InfoWars-80256732576/,infowars
The Intercept,left,1,News Media,1213,633,0.6570964247020585,https://www.allsides.com/news-source/intercept,0,0,0,1,Low or Initial Rating,https://twitter.com/theintercept,https://en.wikipedia.org/wiki/The_Intercept,https://www.facebook.com/theinterceptflm,theintercept
Jacobin,left,1,News Media,461,74,0.8616822429906542,https://www.allsides.com/news-source/jacobin-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Los Angeles Times,left-center,2,News Media,4030,2974,0.5753854940034266,https://www.allsides.com/news-source/los-angeles-times-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/@TarynLuna,https://en.wikipedia.org/wiki/Los_Angeles_Times,https://www.facebook.com/latimes/,TarynLuna
Media Matters,left,1,News Media,2368,1494,0.61315380631797,https://www.allsides.com/news-source/media-matters-bias,0,0,0,0,NA,https://twitter.com/mmfa,https://en.wikipedia.org/wiki/Media_Matters_for_America,https://www.facebook.com/Mediamatters/,mmfa
Mother Jones,left,1,News Media,5412,1010,0.8427281220803488,https://www.allsides.com/news-source/mother-jones-bias,0,0,0,0,NA,https://twitter.com/MotherJones,https://en.wikipedia.org/wiki/Mother_Jones_(magazine),https://www.facebook.com/motherjones/,MotherJones
MSNBC,left,1,News Media,5681,1923,0.7471067859021567,https://www.allsides.com/news-source/msnbc,0,0,1,1,Medium,https://twitter.com/@MSNBC,https://en.wikipedia.org/wiki/MSNBC,https://www.facebook.com/msnbc/,MSNBC
The Nation,left,1,News Media,977,310,0.7591297591297591,https://www.allsides.com/news-source/nation,0,0,0,0,NA,https://twitter.com/thenation,https://en.wikipedia.org/wiki/The_Nation,https://www.facebook.com/thenationdaily/,thenation
National Review,right,5,News Media,9338,4448,0.6773538372261715,https://www.allsides.com/news-source/national-review,0,0,0,1,Medium,https://twitter.com/NRO,https://en.wikipedia.org/wiki/National_Review,https://www.facebook.com/nationalreview/,NRO
NBCNews.com,left-center,2,News Media,4221,5408,0.4383632775989199,https://www.allsides.com/news-source/nbc-news-media-bias,0,0,1,1,Medium,https://twitter.com/@JoshNBCNews,https://en.wikipedia.org/wiki/NBC_News,https://www.facebook.com/NBCNews/,JoshNBCNews
New Republic,left,1,News Media,1254,673,0.6507524649714582,https://www.allsides.com/news-source/new-republic,0,0,0,1,Low or Initial Rating,https://twitter.com/newrepublic,https://en.wikipedia.org/wiki/The_New_Republic,https://www.facebook.com/newrepublic/,newrepublic
New York Magazine,left,1,News Media,1711,785,0.6854967948717948,https://www.allsides.com/news-source/new-york-magazine,0,0,0,1,Low or Initial Rating,https://twitter.com/Intelligencer,https://en.wikipedia.org/wiki/New_York_(magazine),https://www.facebook.com/NewYorkMag,Intelligencer
New York Post,right,5,News Media,3669,2522,0.5926344693910516,https://www.allsides.com/news-source/new-york-post,0,0,0,1,Low or Initial Rating,https://twitter.com/@nypost,https://en.wikipedia.org/wiki/New_York_Post,https://www.facebook.com/NYPost/,nypost
New York Times - News,left-center,2,News Media,15675,25234,0.38316751815004035,https://www.allsides.com/news-source/new-york-times,1,1,1,1,High,https://twitter.com/@rpogrebin,https://en.wikipedia.org/wiki/The_New_York_Times,https://www.facebook.com/nytimes/,rpogrebin
New York Times - Opinion,left,1,News Media,2716,840,0.7637795275590551,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,1,0,0,1,High,https://twitter.com/@rpogrebin,https://en.wikipedia.org/wiki/The_New_York_Times,https://www.facebook.com/nytimes/,rpogrebin
Newsmax,right,5,News Media,6840,8978,0.43241876343406244,https://www.allsides.com/news-source/newsmax,0,1,0,1,Medium,https://twitter.com/newsmax,https://en.wikipedia.org/wiki/Newsmax_Media,https://www.facebook.com/newsmax/,newsmax
NPR Online News,center,3,News Media,19422,14510,0.5723800542260993,https://www.allsides.com/news-source/npr-media-bias,1,1,1,1,Medium,https://twitter.com/@NPR,https://en.wikipedia.org/wiki/NPR,https://www.facebook.com/NPR/,NPR
PBS NewsHour,center,3,News Media,2039,1494,0.5771299179167846,https://www.allsides.com/news-source/pbs-newshour,0,0,0,0,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/PBS_NewsHour,NA,NA
Politico,left-center,2,News Media,13776,21465,0.39090831701711076,https://www.allsides.com/news-source/politico-media-bias,1,1,1,1,Medium,https://twitter.com/politico,https://en.wikipedia.org/wiki/Politico,https://www.facebook.com/politico/,politico
PolitiFact,left-center,2,News Media,1520,2138,0.4155276107162384,https://www.allsides.com/news-source/politifact,0,0,0,1,Low or Initial Rating,https://twitter.com/politifact,https://en.wikipedia.org/wiki/PolitiFact,https://facebook.com/politifact,politifact
ProPublica,center,3,News Media,839,531,0.6124087591240875,https://www.allsides.com/news-source/propublica,0,0,0,0,NA,https://twitter.com/@zahiratorres,https://en.wikipedia.org/wiki/ProPublica,NA,zahiratorres
Reason,right-center,4,News Media,5258,3529,0.5983839763286674,https://www.allsides.com/news-source/reason,0,0,0,1,Low or Initial Rating,https://twitter.com/reason,https://en.wikipedia.org/wiki/Reason.com,https://facebook.com/Reason.Magazine,reason
RealClearPolitics,center,3,News Media,2787,2415,0.5357554786620531,https://www.allsides.com/news-source/real-clear-politics,0,0,0,0,NA,https://twitter.com/RealClearNews,https://en.wikipedia.org/wiki/RealClearPolitics,https://www.facebook.com/realclearpolitics/,RealClearNews
Reuters,center,3,News Media,6834,4515,0.6021675918583135,https://www.allsides.com/news-source/reuters,0,0,0,1,Low or Initial Rating,https://twitter.com/@Reuters,https://en.wikipedia.org/wiki/Reuters,https://www.facebook.com/Reuters/,Reuters
RollingStone.com,left,1,News Media,1344,364,0.7402597402597403,https://www.allsides.com/news-source/rolling-stone,0,0,0,0,NA,http://twitter.com/rollingstone,https://en.wikipedia.org/wiki/Rolling_Stone,NA,rollingstone
Salon,left,1,News Media,10912,4980,0.6866347847973824,https://www.allsides.com/news-source/salon,0,0,0,1,Medium,https://twitter.com/Salon,https://en.wikipedia.org/wiki/Salon_(website),https://www.facebook.com/salon/,Salon
Scientific American,center,3,News Media,947,453,0.6764285714285714,https://www.allsides.com/news-source/scientific-american,0,0,0,0,Low or Initial Rating,https://twitter.com/sciam,https://en.wikipedia.org/wiki/Scientific_American,https://www.facebook.com/ScientificAmerican/,sciam
Slate,left,1,News Media,3325,2384,0.5824137327027501,https://www.allsides.com/news-source/slate,1,0,1,1,Low or Initial Rating,https://twitter.com/Slate,https://en.wikipedia.org/wiki/Slate_(magazine),https://www.facebook.com/Slate/,Slate
The Atlantic,left-center,2,News Media,4533,2681,0.6283615192680898,https://www.allsides.com/news-source/atlantic,0,0,0,0,NA,https://twitter.com/TheAtlantic,https://en.wikipedia.org/wiki/The_Atlantic,https://www.facebook.com/TheAtlantic/,TheAtlantic
The Boston Globe,left-center,2,News Media,1428,1090,0.5671167593328038,https://www.allsides.com/news-source/boston-globe,0,0,0,1,High,https://twitter.com/BostonGlobe,https://en.wikipedia.org/wiki/The_Boston_Globe,https://www.facebook.com/globe,BostonGlobe
The Daily Caller,right,5,News Media,4658,2549,0.6463160815873457,https://www.allsides.com/news-source/daily-caller,1,0,0,1,Medium,https://twitter.com/@ChuckRossDC,https://en.wikipedia.org/wiki/The_Daily_Caller,https://www.facebook.com/DailyCaller/,ChuckRossDC
The New Yorker,left,1,News Media,2435,762,0.7616515483265561,https://www.allsides.com/news-source/new-yorker,0,0,0,1,Low or Initial Rating,https://twitter.com/NewYorker,https://en.wikipedia.org/wiki/The_New_Yorker,https://www.facebook.com/newyorker/,NewYorker
The Telegraph - UK,right-center,4,News Media,597,349,0.63107822410148,https://www.allsides.com/news-source/telegraph-uk,0,0,0,1,Low or Initial Rating,https://twitter.com/telegraph,https://en.wikipedia.org/wiki/The_Daily_Telegraph,https://www.facebook.com/TELEGRAPH.CO.UK/,telegraph
The Week - News,center,3,News Media,3017,2266,0.5710770395608555,https://www.allsides.com/news-source/the-week-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/TheWeek,https://en.wikipedia.org/wiki/The_Week,https://www.facebook.com/theweek/,TheWeek
TheBlaze.com,right,5,News Media,29759,23159,0.5623606334328584,https://www.allsides.com/news-source/theblaze-bias,0,0,1,1,Medium,https://twitter.com/theblaze,https://en.wikipedia.org/wiki/TheBlaze,https://www.facebook.com/theblaze/,theblaze
Time Magazine,left-center,2,News Media,4191,3477,0.5465571205007824,https://www.allsides.com/news-source/time-magazine-news-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/TIME,https://en.wikipedia.org/wiki/Time_(magazine),https://www.facebook.com/time/,TIME
Townhall,right,5,News Media,8940,13747,0.3940582712566668,https://www.allsides.com/news-source/townhall-bias,0,0,0,1,Medium,https://twitter.com/townhallcom,https://en.wikipedia.org/wiki/Townhall,https://www.facebook.com/townhallcom/,townhallcom
USA TODAY,center,3,News Media,12275,9878,0.5541010246919154,https://www.allsides.com/news-source/usa-today-media-bias,0,1,1,1,High,https://twitter.com/@USATODAY,https://en.wikipedia.org/wiki/USA_Today,https://www.facebook.com/usatoday/,USATODAY
Vanity Fair,left-center,2,News Media,3331,2146,0.6081796603980281,https://www.allsides.com/news-source/vanity-fair,0,0,0,1,Low or Initial Rating,https://twitter.com/HWD,https://en.wikipedia.org/wiki/Vanity_Fair_(magazine),https://www.facebook.com/vanityfairmagazine/,HWD
Vice,left,1,News Media,1043,312,0.7697416974169742,https://www.allsides.com/news-source/vice-media-bias,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Vox,left,1,News Media,12519,12386,0.5026701465569163,https://www.allsides.com/news-source/vox-news-media-bias,0,0,0,1,High,https://twitter.com/@atrupar,https://en.wikipedia.org/wiki/Vox_(website),https://www.facebook.com/Vox,atrupar
Wall Street Journal - Editorial,right-center,4,News Media,5061,3729,0.5757679180887372,https://www.allsides.com/news-source/wall-street-journal-opinion,0,0,0,1,High,NA,NA,NA,NA
Wall Street Journal - News,center,3,News Media,12470,17840,0.41141537446387333,https://www.allsides.com/news-source/wall-street-journal-media-bias,0,1,1,1,High,https://twitter.com/WSJ,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,https://www.facebook.com/wsj,WSJ
Washington Examiner,right-center,4,News Media,5011,2681,0.6514560582423297,https://www.allsides.com/news-source/washington-examiner,0,0,0,1,Medium,https://twitter.com/@dcexaminer,https://en.wikipedia.org/wiki/The_Washington_Examiner,https://www.facebook.com/WashingtonExaminer/,dcexaminer
Washington Post,left-center,2,News Media,24245,15197,0.6147000659195782,https://www.allsides.com/news-source/washington-post-media-bias,0,1,1,1,High,https://twitter.com/@farhip,https://en.wikipedia.org/wiki/The_Washington_Post,https://www.facebook.com/washingtonpost/,farhip
Washington Times,right-center,4,News Media,21112,10655,0.6645890389397803,https://www.allsides.com/news-source/washington-times-bias,0,1,0,1,Medium,https://twitter.com/WashTimes,https://en.wikipedia.org/wiki/The_Washington_Times,https://www.facebook.com/TheWashingtonTimes/,WashTimes
Yahoo! News,left-center,2,News Media,1740,1393,0.5553782317267795,https://www.allsides.com/news-source/yahoo-news-media-bias,1,0,1,0,Medium,NA,NA,NA,NA
